1813	3235
959	2480
2702	2661
2535	803
1038	616
944	1155
1605	1819
786	2518
3210	853
1389	3474
972	3018
519	1111
3385	3183
3031	1355
1155	949
2220	2946
3420	2688
145	2099
679	1746
2291	2914
1093	364
2215	2771
2334	491
1845	740
2511	3303
1617	1528
2434	1119
1082	1030
1001	1521
73	1036
2033	78
896	881
388	2118
1468	2863
1633	2930
484	2950
2730	1290
1807	3365
1585	2733
3202	1340
2316	757
3219	3421
2063	729
1537	3298
2977	2694
968	1804
1405	1028
2818	2016
1138	94
1140	2238
2818	1227
519	2354
3002	3213
2283	338
1822	1221
997	2186
541	2588
2875	3407
288	887
779	598
1017	203
118	1406
3216	2102
387	2448
1122	1427
248	3382
3212	257
400	2354
1421	2750
2698	2215
1549	3077
2288	2108
598	763
2966	13
2572	2811
2574	3005
1089	948
1071	3001
2932	2476
1967	487
676	622
2063	3378
475	1838
3243	3442
938	1762
2882	1844
2515	1520
327	3212
640	1342
3220	1037
1840	3084
2064	1005
36	742
786	2768
2325	2878
662	1238
1623	1109
2373	2101
3355	2225
3261	495
1103	2884
1429	557
3471	2950
2060	2055
1757	2982
2993	782
910	2567
2472	2783
1238	2369
1791	2762
2479	805
3474	1230
1222	3008
1014	3285
2218	2938
227	324
2900	2994
3438	3329
3467	1543
3044	2367
3262	1123
1579	3170
565	1521
692	1226
3385	2815
2722	859
2063	1910
3326	2923
2248	436
960	195
1801	627
1723	1097
2197	502
1262	197
2701	1241
1623	1979
2515	1994
3171	778
1234	381
252	502
690	2962
2944	1242
2325	794
416	2183
2757	2626
1409	3148
1883	443
871	2498
2919	2691
3172	1570
2487	1548
2339	1151
1514	1695
281	2194
212	2372
98	243
1814	1561
2501	1195
268	31
1135	2303
510	2049
1369	279
820	2164
1718	14
85	2953
789	2838
1797	367
2302	1953
734	651
2703	3326
605	905
1052	21
1508	2848
1894	2265
2939	1035
1175	2564
2336	2472
1135	3373
1956	362
2889	2451
1968	1608
2889	930
312	1261
1894	1663
1405	2224
2023	3199
388	1169
2073	2607
3215	297
377	1622
1787	1294
808	1660
3104	3444
2616	2622
1052	1991
3326	3205
556	2049
936	1715
1588	414
1558	2484
1648	1681
1840	1816
842	279
1151	1344
875	237
1549	1000
949	637
3054	349
1777	2563
1001	2898
613	2130
3222	2503
1180	1228
1422	2391
1047	2457
1071	451
1514	1886
419	2998
1393	2685
820	2863
1135	3097
1718	1144
3221	1210
2187	1234
535	2653
454	2868
1014	2035
601	1057
55	3138
529	1524
3006	3005
724	839
81	1306
1833	2026
1314	771
820	235
1449	792
2403	2026
2566	3301
2719	1054
1469	538
1071	1050
1972	3331
1416	1128
1632	31
400	125
1355	257
301	94
1355	3070
1690	2787
2063	562
1567	2558
2811	2477
1715	2225
1200	229
1534	159
3405	1353
172	1684
388	3087
388	291
1289	2141
820	1853
2861	1530
318	1249
6	695
1979	2989
439	130
519	1782
1293	3184
671	1241
1818	2807
2511	1650
3385	917
1527	2879
1057	810
556	1895
535	1329
904	1445
3257	3392
2014	3278
1617	2467
2437	972
2051	314
99	2889
911	2212
2014	283
767	1493
1912	963
2194	2096
417	60
145	2257
2064	2675
1120	3375
834	2089
2390	609
1431	1939
1399	1824
535	2551
3432	807
73	1705
1156	2693
160	1839
2972	2658
214	2205
388	1115
1855	1733
2530	1441
1252	718
2403	3470
2783	262
116	3251
288	2532
912	2816
2245	813
28	2407
2291	654
3004	1630
1922	2022
1961	3401
2734	775
2244	2410
1416	196
102	1743
870	2985
154	707
1273	2343
757	2831
2220	1948
388	3381
1151	2179
2198	3458
2302	951
1814	306
484	1624
3031	287
1398	1985
601	3376
2370	1617
990	1113
