37067
0	92	1	0	34
1	92	2	1	46
2	92	3	2	34
3	92	4	3	45
1	92	5	4	46
4	92	6	2	45
5	92	7	5	35
6	92	8	6	35
7	92	9	7	42
8	92	10	8	68
9	92	11	9	45
10	92	12	10	45
11	92	13	11	47
12	92	14	10	45
3	92	15	10	34
13	92	16	12	34
14	92	17	10	34
15	92	18	10	45
16	92	19	13	74
17	92	20	14	45
18	92	21	11	45
16	92	22	13	45
19	92	23	15	45
20	92	24	16	34
9	92	25	17	45
16	92	26	18	45
21	92	27	0	34
22	92	28	19	1
23	92	29	0	1
24	92	30	6	45
25	92	31	20	34
26	92	32	21	31
27	92	33	22	45
27	92	34	23	45
28	92	35	24	43
29	92	36	25	45
13	92	37	20	34
30	92	38	26	45
31	92	39	27	75
32	92	40	28	57
33	92	41	29	45
34	92	42	30	45
35	92	43	31	82
36	92	44	14	43
37	92	45	32	45
38	92	46	33	66
39	92	47	34	45
40	92	48	35	45
37	92	49	4	45
41	92	50	36	53
42	92	51	37	86
43	92	52	34	65
44	92	53	25	46
45	92	54	38	45
46	92	55	39	45
34	92	56	32	45
47	92	57	4	45
48	92	58	40	34
49	92	59	41	35
48	92	60	42	44
50	92	61	0	35
51	92	62	36	45
52	92	63	43	35
53	92	64	43	45
54	92	65	24	45
55	92	66	10	34
56	92	67	44	45
57	92	68	45	34
58	92	69	3	45
59	92	70	46	35
5	92	71	47	35
60	92	72	16	44
61	92	73	48	45
34	92	74	49	45
61	92	75	24	45
62	92	76	50	45
63	92	77	50	45
64	92	78	51	53
65	92	79	52	35
37	92	80	34	45
66	92	81	24	45
40	92	82	10	35
67	92	83	53	65
67	92	84	23	65
68	92	85	54	45
23	92	86	1	11
69	92	87	55	35
70	92	88	56	52
4	92	89	57	45
41	92	90	1	34
71	92	91	6	45
56	92	92	10	45
72	92	93	58	45
73	92	94	47	45
74	92	95	49	44
75	92	96	59	45
66	92	4	3	45
76	92	97	60	46
23	92	98	61	21
41	92	99	62	35
77	92	100	0	58
78	92	101	10	45
41	92	102	63	34
79	92	103	9	2
80	92	104	64	45
81	92	105	14	43
82	92	106	7	34
83	92	107	24	45
84	92	65	24	45
85	92	108	49	44
86	92	70	46	35
87	92	109	38	43
88	92	110	65	35
43	92	111	2	65
89	92	112	66	91
90	92	113	67	46
91	92	114	68	31
92	92	115	69	45
93	92	116	7	45
57	92	117	70	34
94	92	118	71	44
83	92	119	39	45
95	92	120	49	46
96	92	121	72	34
97	92	122	47	45
98	92	123	31	66
80	92	124	73	45
99	92	125	74	45
100	92	126	9	44
101	92	127	75	1
56	92	128	76	45
32	92	129	36	57
102	92	130	77	46
1	92	5	4	46
50	92	131	4	35
103	92	132	78	54
9	92	133	2	45
9	92	134	47	45
23	92	135	52	21
104	92	136	10	45
105	92	137	36	43
53	92	138	10	45
94	92	139	79	44
3	92	140	80	45
106	92	141	81	45
90	92	142	77	46
81	92	143	29	45
107	92	144	10	45
108	92	145	82	45
23	92	146	77	10
21	92	147	83	44
109	92	148	84	46
101	92	149	19	10
109	92	150	0	56
110	92	151	38	45
23	92	152	84	10
111	92	153	11	46
112	92	154	85	45
113	92	155	74	45
114	92	156	86	45
115	92	157	87	34
116	92	158	64	32
117	92	159	88	44
118	92	160	89	45
119	92	161	90	82
120	92	13	11	47
121	92	162	91	1
93	92	163	38	45
107	92	164	32	45
100	92	126	9	44
12	92	165	75	45
122	92	166	92	45
123	92	167	82	45
124	92	168	10	45
125	92	169	58	45
5	92	170	93	67
5	92	171	94	67
94	92	172	95	45
30	92	173	3	44
126	92	174	96	45
114	92	175	59	45
57	92	176	97	45
127	92	177	11	58
70	92	178	23	44
128	92	179	11	68
129	92	180	91	46
130	92	181	98	56
131	92	182	58	35
132	92	183	0	45
53	92	184	58	46
133	92	185	99	45
134	92	186	46	45
135	92	187	50	45
82	92	188	11	43
136	92	189	100	82
137	92	190	101	35
138	92	191	102	45
1	92	192	103	46
1	92	5	4	46
114	92	193	104	45
139	92	194	39	45
140	92	195	17	45
141	92	196	47	44
142	92	197	26	44
143	92	198	24	46
144	92	199	92	45
145	92	200	82	53
146	92	201	105	43
147	92	202	6	45
84	92	203	46	55
148	92	204	49	44
149	92	22	13	45
12	92	205	106	45
150	92	206	41	34
151	92	207	42	54
152	92	208	107	35
153	92	209	101	43
154	92	210	38	45
155	92	211	108	35
